Sp,Binary,Ensemble.2,EnsembleBinary
Acerodon jubatus,0,0.25764499866572654,TRUE
Thoopterus nigrescens,0,0.2825900709996231,TRUE
Pteropus poliocephalus,0,0.46947782238900515,FALSE
Murina hilgendorfi,0,0.2687317676155308,TRUE
Rhinopoma muscatellum,0,0.28168252976269237,TRUE
Pipistrellus subflavus,0,0.4756107844035063,FALSE
Scotoecus albofuscus,0,0.2523320389033677,TRUE
Myotis tricolor,0,0.2646339579010647,TRUE
Murina fusca,0,0.26399561207023364,TRUE
Dobsonia moluccensis,1,0.5175933695459427,FALSE
Nyctimene rabori,0,0.2853950009428557,TRUE
Molossus molossus,0,0.4756070692118657,FALSE
Rhinolophus capensis,0,0.5439606197427499,FALSE
Lasiurus cinereus,0,0.5089124504844151,FALSE
Tadarida brasiliensis,0,0.47336389684806846,FALSE
Latidens salimalii,0,0.29282260726207776,TRUE
Chaerephon bivittatus,0,0.28068660308462917,TRUE
Myotis nigricans,0,0.45470007922628586,TRUE
Scotoecus pallidus,0,0.2806021967656385,TRUE
Aethalops aequalis,0,0.2940310674396672,TRUE
Tadarida latouchei,0,0.28682410083136545,TRUE
Harpiocephalus mordax,0,0.2550356089218013,TRUE
Pteronotus davyi,1,0.4916278575585002,FALSE
Nyctimene cephalotes,0,0.3029326047350851,TRUE
Glauconycteris variegata,1,0.2519312510915013,TRUE
Myotis schaubi,0,0.2817230354754683,TRUE
Megaerops kusnotoi,1,0.3047517882900863,TRUE
Uroderma bilobatum,0,0.48609859465849425,FALSE
Neoromicia helios,0,0.2829344895663293,TRUE
Pipistrellus deserti,1,0.2959468406907419,TRUE
Harpiocephalus harpia,0,0.25770346854392767,TRUE
Dobsonia minor,0,0.3110173131046311,TRUE
Glossophaga soricina,0,0.4868570364540185,FALSE
Rhinolophus megaphyllus,0,0.5660085125082654,FALSE
Eumops glaucinus,1,0.5326451488947767,FALSE
Plerotes anchietae,0,0.3118316716356735,TRUE
Myotis velifer,0,0.5190876467836915,FALSE
Tadarida insignis,0,0.3051871964762453,TRUE
Rhinolophus virgo,0,0.31883940091852286,TRUE
Myotis bombinus,0,0.2974218755685276,TRUE
Lasiurus ega,0,0.529454743557771,FALSE
Chaerephon leucogaster,0,0.2772809848317949,TRUE
Rhinolophus imaizumii,0,0.32740609851630037,TRUE
Acerodon mackloti,0,0.31378268281769905,TRUE
Mormoops megalophylla,0,0.5095329098607659,FALSE
Paracoelops megalotis,0,0.3174219796268595,TRUE
Desmodus rotundus,1,0.5030673109104481,FALSE
Rhinolophus deckenii,0,0.33235008992524623,TRUE
Nyctinomops laticaudatus,1,0.5583581039549548,FALSE
Nycteris macrotis,1,0.29770078270533745,TRUE
Chalinolobus gouldii,0,0.5627288951950741,FALSE
Acerodon celebensis,1,0.31171878726196617,TRUE
Rhinolophus denti,0,0.34096477750691867,TRUE
Rhinolophus formosae,0,0.3381667533802362,TRUE
Artibeus phaeotis,1,0.5403486363710008,FALSE
Chaerephon ansorgei,0,0.320342230502179,TRUE
Eptesicus furinalis,0,0.5690734021966644,FALSE
Arielulus aureocollaris,0,0.305335073324882,TRUE
Eptesicus tatei,0,0.32113481289654644,TRUE
Rhinolophus robinsoni,0,0.3413997420060742,TRUE
Molossus rufus,0,0.5162228883191895,FALSE
Rousettus bidens,0,0.3286832333789874,TRUE
Styloctenium wallacei,0,0.3142649299682567,TRUE
Myotis bocagii,0,0.27430533773349,TRUE
Pteropus neohibernicus,0,0.5625804782692067,FALSE
Cynopterus luzoniensis,0,0.34264677809821475,TRUE
Nycteris gambiensis,1,0.5332679019372831,FALSE
Nyctinomops macrotis,0,0.5730067987418056,FALSE
Harpyionycteris celebensis,0,0.3262131020040048,TRUE
Myotis lucifugus,0,0.5315673141526988,FALSE
Taphozous mauritianus,0,0.29544355787907123,TRUE
Epomophorus angolensis,0,0.3418818016789348,TRUE
Glauconycteris argentata,0,0.46766797413986017,FALSE
Pteropus chrysoproctus,0,0.3387364985649628,TRUE
Nyctimene minutus,0,0.3488456871841544,TRUE
Pteropus niger,0,0.3441090371296089,TRUE
Pipistrellus endoi,0,0.3462581706852995,TRUE
Myotis septentrionalis,0,0.5617165228526364,FALSE
Rousettus obliviosus,0,0.35503169221116315,TRUE
Pteropus mariannus,0,0.34441241688644325,TRUE
Cynopterus nusatenggara,0,0.3608895220144135,TRUE
Lasionycteris noctivagans,0,0.6234393798010968,FALSE
Hypsugo bodenheimeri,0,0.32332866243786407,TRUE
Pteropus caniceps,0,0.34396139343587945,TRUE
Rhinopoma macinnesi,0,0.351539091881274,TRUE
Nycteris hispida,0,0.318397089979368,TRUE
Rhinolophus celebensis,0,0.3650479378981669,TRUE
Saccolaimus flaviventris,0,0.597361328939433,FALSE
Miniopterus natalensis,0,0.6104516951617686,FALSE
Lasiurus intermedius,0,0.59745025748088,FALSE
Pteropus melanotus,0,0.3398445475267853,TRUE
Eptesicus bobrinskoi,0,0.3492186871764226,TRUE
Eptesicus brasiliensis,0,0.6009234419049286,FALSE
Myotis hajastanicus,0,0.3462082522628167,TRUE
Arielulus torquatus,0,0.33326217956588755,TRUE
Nycticeius humeralis,0,0.6226807544232885,FALSE
Syconycteris australis,0,0.5610932715706178,FALSE
Chalinolobus morio,0,0.6287076656265944,FALSE
Eumops auripendulus,0,0.6128978710469843,FALSE
Murina silvatica,0,0.34081259999890645,TRUE
Antrozous pallidus,0,0.6418675775359431,FALSE
Falsistrellus mackenziei,0,0.6213686568799297,FALSE
Scotoecus hindei,0,0.3087321841432866,TRUE
Pteropus seychellensis,0,0.36723844120278365,TRUE
Rhinolophus guineensis,0,0.38755611707608456,TRUE
Eumops perotis,0,0.6124786427213219,FALSE
Myotis volans,0,0.6089615828964502,FALSE
Hipposideros fuliginosus,1,0.3622729090271618,TRUE
Anoura geoffroyi,0,0.5835088393423463,FALSE
Platyrrhinus lineatus,0,0.6299766893743898,FALSE
Rhinolophus rufus,1,0.38506751838853387,TRUE
Phyllostomus hastatus,0,0.5878667556798537,FALSE
Dobsonia crenulata,0,0.3533842753571318,TRUE
Dobsonia anderseni,0,0.6473853890876492,FALSE
Kerivoula papillosa,0,0.32251340479403634,TRUE
Phyllostomus discolor,0,0.6423861871934184,FALSE
Dobsonia viridis,0,0.3497382465483288,TRUE
Artibeus fimbriatus,0,0.6562566445779738,FALSE
Dobsonia exoleta,0,0.3543676626992991,TRUE
Myotis pruinosus,0,0.3630725163602264,TRUE
Pteropus personatus,0,0.3655721204823679,TRUE
Diphylla ecaudata,0,0.617589081297083,FALSE
Dobsonia peronii,0,0.3595894832070731,TRUE
Lasiurus blossevillii,0,0.6427483333983405,FALSE
Myotis austroriparius,0,0.6585770290681238,FALSE
Myotis riparius,0,0.6015060604245343,FALSE
Acerodon leucotis,0,0.37479621225564225,TRUE
Nycteris grandis,0,0.356609894921617,TRUE
Hipposideros ridleyi,0,0.3736330778854918,TRUE
Myotis hasseltii,0,0.32764367740033795,TRUE
Scotoecus albigula,0,0.3400098398696538,TRUE
Nyctimene aello,0,0.39199674341909885,TRUE
Myotis welwitschii,0,0.3492338868938116,TRUE
Vespadelus regulus,0,0.6648629585550365,FALSE
Hipposideros cervinus,1,0.3780763430299986,TRUE
Mimetillus moloneyi,0,0.3393547339874603,TRUE
Eptesicus japonensis,0,0.38798273016833207,TRUE
Miniopterus australis,0,0.6664348808267874,FALSE
Tadarida ventralis,0,0.36706713908242483,TRUE
Rhinonicteris aurantia,1,0.5753757299344583,FALSE
Myotis grisescens,0,0.67123723153233406,FALSE
Lasiurus seminolus,0,0.6678174511568953,FALSE
Myotis albescens,0,0.6566631095726556,FALSE
Myotis thysanodes,0,0.6706406370263448,FALSE
Euderma maculatum,0,0.6774938679420678,FALSE
Histiotus velatus,0,0.6684714398505638,FALSE
Myonycteris brachycephala,0,0.4101554863262609,TRUE
Myotis macropus,0,0.6820627443044679,FALSE
Cynomops abrasus,0,0.6420484558259925,FALSE
Artibeus toltecus,0,0.6578209441620781,FALSE
Myotis davidii,0,0.6694397285281042,FALSE
Otomops martiensseni,0,0.36547588904167816,TRUE
Dobsonia magna,0,0.3970917960093482,TRUE
Chaerephon bemmeleni,0,0.37956335906156013,TRUE
Glischropus tylopus,0,0.35284003781322093,TRUE
Pipistrellus hesperus,0,0.6880923873414709,FALSE
Eptesicus hottentotus,0,0.3797743836590523,TRUE
Vespadelus baverstocki,0,0.6841619708918881,FALSE
Pteropus speciosus,0,0.3699685035883765,TRUE
Rhinolophus siamensis,0,0.4164052619471889,TRUE
Diaemus youngi,0,0.6572270718905706,FALSE
Pipistrellus nanulus,0,0.3900253963703534,TRUE
Syconycteris carolinae,0,0.41022426831767644,TRUE
Nyctimene albiventer,0,0.41104030165871763,TRUE
Rhinolophus hillorum,0,0.42078398191044397,TRUE
Pteropus pselaphon,0,0.3860545445187876,TRUE
Artibeus cinereus,0,0.6499135075441331,FALSE
Rhinolophus euryotis,0,0.42068041984524124,TRUE
Myotis gomantongensis,0,0.37733664173327464,TRUE
Hesperoptenus blanfordi,0,0.3653845454786032,TRUE
Rhinolophus maclaudi,0,0.42819337980146255,TRUE
Rhinolophus canuti,0,0.42592758713585394,TRUE
Rhinolophus keyensis,0,0.4217491207128118,TRUE
Sturnira tildae,0,0.6706282196503022,FALSE
Kerivoula lanosa,0,0.36581875888662296,TRUE
Rhinolophus convexus,0,0.3838471642867841,TRUE
Nycteris nana,0,0.5826458288621523,FALSE
Alionycteris paucidentata,0,0.41701577834883574,TRUE
Myotis keenii,0,0.6756468844306193,FALSE
Eudiscopus denticulus,0,0.3833458926226399,TRUE
Eptesicus diminutus,0,0.7070872121616775,FALSE
Pteropus lombocensis,0,0.38523528427263976,TRUE
Sturnira ludovici,0,0.5799493403757543,FALSE
Miniopterus africanus,0,0.3843049541021685,TRUE
Laephotis wintoni,0,0.39234261743384696,TRUE
Saccolaimus peli,0,0.3866780219139481,TRUE
Lasiurus xanthinus,0,0.701832093002005,FALSE
Lasiurus borealis,0,0.6916231270058997,FALSE
Corynorhinus townsendii,0,0.7150877623923708,FALSE
Pteropus admiralitatum,0,0.6955559524333087,FALSE
Murina ussuriensis,0,0.41075189423825414,TRUE
Scotophilus nucella,0,0.39909759883950824,TRUE
Pipistrellus maderensis,0,0.42697792967439085,TRUE
Murina puta,0,0.39826208222010206,TRUE
Hipposideros jonesi,0,0.42049157113665875,TRUE
Kerivoula argentata,0,0.39751053247610557,TRUE
Platyrrhinus helleri,0,0.7013878108948746,FALSE
Myotis yumanensis,0,0.7188161335803546,FALSE
Hipposideros megalotis,0,0.42932281830389646,TRUE
Mops congicus,0,0.40633067575724624,TRUE
Leptonycteris nivalis,0,0.7020512839603249,FALSE
Pteropus voeltzkowi,0,0.42006242324170745,TRUE
Lonchorhina aurita,0,0.7009295157620663,FALSE
Pteropus livingstonii,0,0.41645974421356063,TRUE
Myotis levis,0,0.7249230602673712,FALSE
Pteropus melanopogon,0,0.4229092511510719,TRUE
Asellia patrizii,0,0.4332837029054358,TRUE
Rhinolophus silvestris,0,0.4441486173380448,TRUE
Cynomops planirostris,0,0.6931311632689455,FALSE
Pteropus ocularis,0,0.40950666504110184,TRUE
Mops thersites,0,0.40853038358317123,TRUE
Hipposideros obscurus,0,0.42898069031363084,TRUE
Triaenops rufus,0,0.4357759950873652,TRUE
Miniopterus fraterculus,0,0.422721773633845,TRUE
Myotis adversus,0,0.38769240503659164,TRUE
Emballonura alecto,1,0.3946940241737018,TRUE
Hipposideros durgadasi,0,0.4394815855591186,TRUE
Nyctimene robinsoni,0,0.43684179187341765,TRUE
Mops mops,0,0.4203400040509142,TRUE
Histiotus montanus,0,0.7338265655458259,FALSE
Kerivoula whiteheadi,0,0.38799831461984713,TRUE
Natalus stramineus,0,0.7171297237268718,FALSE
Pipistrellus stenopterus,0,0.39993460333900827,TRUE
Hipposideros beatus,0,0.4383213042017821,TRUE
Neopteryx frosti,0,0.4261138471932253,TRUE
Pteropus griseus,0,0.42638824844418116,TRUE
Murina grisea,0,0.4005873164664809,TRUE
Tadarida fulminans,0,0.4247104158394145,TRUE
Myotis hosonoi,0,0.4228999400332944,TRUE
Nycteris tragata,0,0.41816095843502415,TRUE
Myotis californicus,0,0.7492565784363198,FALSE
Chrotopterus auritus,0,0.7272228222576839,FALSE
Lasiurus egregius,0,0.7412827157972102,FALSE
Hipposideros hypophyllus,0,0.41738522526946076,TRUE
Artibeus obscurus,1,0.6512150080745007,FALSE
Falsistrellus petersi,0,0.39971645204497375,TRUE
Vampyrodes caraccioli,0,0.6423381298708648,FALSE
Myotis leibii,0,0.7445168884545574,FALSE
Paranyctimene raptor,0,0.4566730429957806,TRUE
Acerodon humilis,0,0.4393747175943401,TRUE
Pteropus tokudae,0,0.41543667461425254,TRUE
Myotis rosseti,0,0.40869003032525875,TRUE
Nyctophilus bifax,0,0.43900529973028124,TRUE
Nyctimene draconilla,0,0.46505281791861286,FALSE
Diclidurus albus,0,0.7475921075028398,FALSE
