"Sp","Betacov","R.Alb","R.Car3","R.Gut1","Rank","PropRank","InSample"
"Rhinolophus hildebrandtii",0,0.0565262076053443,0.328853046594982,0.181003584229391,196.25,0.498596614803903,1
"Myotis keaysi",0,0.198355601233299,0.629928315412186,0.667562724014337,547,0.498615546886607,0
"Falsistrellus mordax",0,0.300102774922919,0.497311827956989,0.701612903225806,543.333333333333,0.499675835368572,0
"Myotis keenii",0,0.484583761562179,0.837813620071685,0.931003584229391,384.928571428571,0.501809772096918,1
"Artibeus cinereus",0,0.653648509763618,0.585125448028674,0.842293906810036,359.357142857143,0.501861303055714,1
"Lasiurus cinereus",0,0.318602261048304,0.735663082437276,0.287634408602151,265.428571428571,0.502271293298421,1
"Scotophilus nigrita",0,0.144912641315519,0.0367383512544803,0.00985663082437276,123.857142857143,0.502611325276811,1
"Rhinolophus euryotis",0,0.488694758478931,0.541218637992832,0.479390681003584,538.166666666667,0.503101359158449,0
"Rhinolophus creaghi",1,0.273895169578623,0.436379928315412,0.592293906810036,304.666666666667,0.504160615385548,1
"Kerivoula lenis",0,0.234326824254882,0.901433691756272,0.380376344086022,552.833333333333,0.505378953365725,0
"Vespadelus caurinus",0,0.421377183967112,0.562724014336918,0.53584229390681,545.333333333333,0.506647830736947,0
"Cynomops abrasus",0,0.781603288797533,0.78405017921147,0.584229390681004,366.571428571429,0.507192578926507,1
"Anoura geoffroyi",0,0.758992805755396,0.675627240143369,0.292114695340502,315.142857142857,0.508047684757504,1
"Rhinolophus shameli",0,0.107913669064748,0.129032258064516,0.0967741935483871,143.714285714286,0.508866653910081,1
"Asellia patrizii",0,0.71120246659815,0.342293906810036,0.473118279569892,534,0.508871550992693,0
"Myotis moluccarum",0,0.29393627954779,0.542114695340502,0.691756272401434,554.333333333333,0.509269082429909,0
"Nycteris intermedia",0,0.71377183967112,0.326164874551971,0.490143369175627,535.166666666667,0.51002669446624,0
"Myotis yanbarensis",0,NA,0.598118279569892,0.425627240143369,571.25,0.511872759856631,0
"Hipposideros dyacorum",0,0.620760534429599,0.451612903225806,0.46415770609319,542,0.512177047916199,0
"Vespadelus finlaysoni",0,0.537512846865365,0.505376344086022,0.497311827956989,547.333333333333,0.513400339636125,0
"Chaerephon jobensis",0,0.837615621788284,0.388888888888889,0.316308243727599,534,0.514270918134924,0
"Platymops setiger",0,0.719938335046249,0.372759856630824,0.454301075268817,541.166666666667,0.515666422315297,0
"Murina ryukyuana",0,NA,0.598118279569892,0.433691756272401,575.75,0.515905017921147,0
"Rhinolophus silvestris",0,0.339157245632066,0.43010752688172,0.778673835125448,559.666666666667,0.515979535879745,0
"Pipistrellus coromandra",0,0.0154162384378212,0.134408602150538,0.1415770609319,142.214285714286,0.51603829189322,1
"Myotis brandtii",0,0.0991778006166495,0.0582437275985663,0.0878136200716846,135.071428571429,0.517035842331199,1
"Rhinolophus maclaudi",0,0.510791366906475,0.281362007168459,0.760752688172043,553.333333333333,0.517635354082326,0
"Rhinolophus canuti",0,0.530832476875642,0.471326164874552,0.551075268817204,552.5,0.5177446368558,0
"Paranyctimene raptor",0,0.474820143884892,0.498207885304659,0.582437275985663,556,0.518488435058405,0
"Taphozous georgianus",0,0.954265159301131,0.359318996415771,0.24910394265233,535.833333333333,0.520896032789744,0
"Mops sarasinorum",0,0.789825282631038,0.407706093189964,0.366487455197133,544.166666666667,0.521339610339378,0
"Rhinolophus stheno",0,0.025693730729702,0.212365591397849,0.186379928315412,159.928571428571,0.522107744438984,1
"Murina aurata",0,0.115107913669065,0.146057347670251,0.202508960573477,163,0.522369658248509,1
"Rhogeessa tumida",0,0.276464542651593,0.656810035842294,0.634408602150538,570,0.522561060214808,0
"Plecotus kolombatovici",0,0.198355601233299,0.981182795698925,0.388888888888889,574,0.522809095273704,0
"Saccolaimus saccolaimus",0,0.510791366906475,0.0788530465949821,0.0501792114695341,177,0.5239118114413,1
"Rhinolophus coelophyllus",0,0.0945529290853032,0.161290322580645,0.174731182795699,160.071428571429,0.525233918083947,1
"Triaenops rufus",0,0.825282631038027,0.414874551971326,0.336021505376344,547,0.525392896128566,0
"Phylloderma stenops",0,0.776978417266187,0.573476702508961,0.227598566308244,550,0.52601789536113,0
"Neoromicia melckorum",0,0.200411099691675,0.520609318996416,0.859318996415771,578.333333333333,0.526779805034621,0
"Philetor brachypterus",0,0.168036998972251,0.230286738351254,0.235663082437276,184.071428571429,0.527014989999572,1
"Pteronotus personatus",0,0.719938335046249,0.613799283154122,0.25,554.833333333333,0.527912539400124,0
"Murina tenebrosa",0,0.578108941418294,0.563620071684588,0.442652329749104,561.833333333333,0.528127114283995,0
"Nycteris thebaica",0,0.396711202466598,0.0483870967741935,0.00716845878136201,157.428571428571,0.528614036297878,1
"Miniopterus gleni",0,NA,0.521505376344086,0.53673835125448,590.5,0.529121863799283,0
"Paranyctimene tenax",0,NA,0.702508960573477,0.35752688172043,591.5,0.530017921146953,0
"Scotorepens sanborni",0,0.469167523124358,0.485663082437276,0.636200716845878,569.5,0.530343774135837,0
"Nyctinomops laticaudatus",1,0.854573484069887,0.603942652329749,0.437275985663082,333.285714285714,0.530780836299925,1
"Hipposideros durgadasi",0,0.89568345323741,0.223118279569892,0.474910394265233,550.166666666667,0.531237375690845,0
"Rhinolophus simulator",0,0.171120246659815,0.14336917562724,0.218637992831541,172.714285714286,0.531447898447764,1
"Carollia sowelli",0,NA,0.702508960573477,0.361111111111111,593.5,0.531810035842294,0
"Rhinolophus cornutus",1,NA,0.245519713261649,0.349462365591398,233,0.532372991087729,1
"Nyctalus lasiopterus",0,0.168036998972251,0.0412186379928315,0.0474910394265233,139.071428571429,0.532741088753356,1
"Nyctophilus gouldi",0,0.554984583761562,0.484767025089606,0.559139784946237,568.333333333333,0.532963797932468,0
"Chalinolobus nigrogriseus",0,0.453751284686536,0.514336917562724,0.630824372759857,573.166666666667,0.532970858336372,0
"Hipposideros madurae",0,NA,0.493727598566308,0.574372759856631,596,0.53405017921147,0
"Rousettus linduensis",0,NA,0.724910394265233,0.344086021505376,596.5,0.534498207885305,0
"Neoromicia flavescens",0,0.539054470709147,0.406810035842294,0.665770609318996,573.833333333333,0.537211705290146,0
"Tylonycteris robustula",0,0.0246659815005139,0.17831541218638,0.140681003584229,153.928571428571,0.537564819407686,1
"Cynomops planirostris",0,0.822199383350462,0.801075268817204,0.723118279569892,398.071428571429,0.539202454378744,1
"Nyctimene draconilla",0,0.441932168550874,0.565412186379928,0.611111111111111,581,0.539485155347304,0
"Pteropus pelewensis",0,0.432682425488181,0.624551971326165,0.565412186379928,583,0.540882194398091,0
"Macroglossus minimus",0,0.0452209660842754,0.136200716845878,0.197132616487455,158.714285714286,0.541143302616464,1
"Myotis bucharensis",0,0.344295991778006,0.901433691756272,0.379032258064516,588,0.541587313866265,0
"Otomops wroughtoni",0,0.832476875642343,0.306451612903226,0.487455197132616,565.333333333333,0.542127895226062,0
"Pteropus rufus",1,0.584275436793422,0.25,0.405913978494624,261.357142857143,0.543703734207256,1
"Nyctinomops aurispinosus",0,0.724049331963001,0.620071684587814,0.288530465949821,572.833333333333,0.544217160833545,0
"Mops leucostigma",0,0.801130524152107,0.42921146953405,0.402329749103943,569.166666666667,0.544223914263367,0
"Nyctalus plancyi",0,0.135662898252826,0.205197132616487,0.156810035842294,172.357142857143,0.544380313242266,1
"Hypsugo crassulus",0,NA,0.301075268817204,0.789426523297491,608.5,0.545250896057348,0
"Scotorepens balstoni",0,0.626927029804728,0.459677419354839,0.549283154121864,578.666666666667,0.545295867760477,0
"Myotis capaccinii",0,0.15262076053443,0.0456989247311828,0.113799283154122,149.428571428571,0.545432068604394,1
"Chiroderma villosum",0,0.673689619732785,0.482974910394265,0.481182795698925,577.166666666667,0.545949108608658,0
"Mops trevori",0,0.567317574511819,0.506272401433692,0.564516129032258,582.333333333333,0.546035368325923,0
"Vampyressa thyone",0,0.648509763617677,0.642025089605735,0.354838709677419,581.166666666667,0.548457854300277,0
"Myotis hermani",0,0.421377183967112,0.582437275985663,0.64426523297491,593,0.549359897642562,0
"Myotis horsfieldii",0,0.0215827338129496,0.162186379928315,0.158602150537634,157.214285714286,0.550878684548279,1
"Nyctimene certans",0,0.510791366906475,0.557347670250896,0.586917562724014,591.333333333333,0.551685533293795,0
"Glauconycteris alboguttata",0,0.297019527235355,0.503584229390681,0.862903225806452,604.666666666667,0.554502327477496,0
"Mops demonstrator",0,0.542651593011305,0.411290322580645,0.710573476702509,593.333333333333,0.554838464098153,0
"Scotophilus celebensis",0,0.42754367934224,0.617383512544803,0.620071684587814,599,0.554999625491619,0
"Pteropus temminckii",0,0.491778006166495,0.480286738351254,0.696236559139785,597.166666666667,0.556100434552512,0
"Chaerephon johorensis",0,0.709660842754368,0.440860215053763,0.520609318996416,587.833333333333,0.557043458934849,0
"Arielulus societatis",0,0.515930113052415,0.491935483870968,0.663978494623656,597.333333333333,0.557281363849013,0
"Hipposideros nequam",0,NA,0.482078853046595,0.633512544802867,622.5,0.557795698924731,0
"Hipposideros camerunensis",0,0.875642343268243,0.368279569892473,0.431003584229391,581.333333333333,0.558308499130035,0
"Tadarida lobata",0,0.705549845837616,0.442652329749104,0.53405017921147,592.166666666667,0.56075078493273,0
"Hipposideros cineraceus",0,0.0899280575539568,0.128136200716846,0.147849462365591,161.5,0.561834693499237,1
"Myotis fortidens",0,0.300102774922919,0.650537634408602,0.739247311827957,614.333333333333,0.563295907053159,0
