"Sp","Betacov","R.Alb","R.Dal1","R.Far1","R.Po2","R.Po3","Rank","PropRank","InSample"
"Tragelaphus imberbis",0,0.329122974261201,0.747887323943662,0.414084507042254,NA,0.586715867158672,631,0.519452668101447,1
"Bandicota indica",0,0.219137273593899,0.914788732394366,0.357746478873239,NA,0.586715867158672,535.25,0.519597088005044,1
"Oryx beisa",0,0.33615347950429,0.716901408450704,0.446478873239437,NA,0.586715867158672,638.625,0.521562407088276,1
"Rattus exulans",0,0.218064823641563,0.905633802816901,0.376056338028169,NA,0.586715867158672,535.75,0.521617707911326,1
"Cervus nippon",0,0.372020972354623,0.707042253521127,0.435211267605634,NA,0.586715867158672,672.5,0.525247590160014,1
"Martes pennanti",0,0.544447092469018,0.41830985915493,0.238028169014084,1,0.437269372693727,652.1,0.527610898666352,1
"Cephalophus nigrifrons",0,0.379051477597712,0.7,0.445070422535211,NA,0.586715867158672,680.375,0.527709441822899,1
"Macaca radiata",0,0.594018112488084,0.51830985915493,0.185915492957746,1,0.346863468634686,690.7,0.529021386647089,1
"Bradypus variegatus",0,0.830433746425167,0.305633802816901,0.18169014084507,1,0.346863468634686,858.3,0.532924231744365,1
"Caracal caracal",0,0.249404194470925,0.866197183098592,0.43943661971831,NA,0.586715867158672,572.875,0.535438466111624,1
"Mastomys erythroleucus",0,0.271091515729266,0.414084507042254,0.42112676056338,1,0.586715867158672,464.3,0.538603730098714,1
"Callithrix leucippe",0,NA,0.233098591549296,0.338028169014085,1,0.586715867158672,249.125,0.539460656930513,1
"Leopardus pardalis",0,0.491658722592946,0.526760563380282,0.253521126760563,1,0.437269372693727,625.4,0.541841957085504,1
"Meriones hurrianae",0,0.53813155386082,0.638028169014085,0.187323943661972,1,0.346863468634686,661,0.542069427034312,1
