"","unique_name","betacov","sarbecov","preds_allbetacov","preds_sarbecovirus"
"Rhinopoma_muscatellum","Rhinopoma_muscatellum",0,0,0.047112462681757,0.00204290091930575
"Cardioderma_cor","Cardioderma_cor",0,0,0.047112462681757,0.00204290091930575
"Lavia_frons","Lavia_frons",0,0,0.047112462681757,0.00204290091930575
"Macroderma_gigas","Macroderma_gigas",0,0,0.047112462681757,0.00204290091930575
"Megaderma_lyra","Megaderma_lyra",0,0,0.047112462681757,0.00204290091930575
"Megaderma_spasma","Megaderma_spasma",0,0,0.047112462681757,0.00204290091930575
"Nycteris_javanica","Nycteris_javanica",0,0,0.047112462681757,0.00204290091930575
"Nycteris_tragata","Nycteris_tragata",0,0,0.047112462681757,0.00204290091930575
"Nycteris_arge","Nycteris_arge",0,0,0.047112462681757,0.00204290091930575
"Nycteris_intermedia","Nycteris_intermedia",0,0,0.047112462681757,0.00204290091930575
"Nycteris_major","Nycteris_major",0,0,0.121827411167512,0.00204290091930575
"Nycteris_nana","Nycteris_nana",0,0,0.047112462681757,0.00204290091930575
"Nycteris_gambiensis","Nycteris_gambiensis",0,0,0.047112462681757,0.00204290091930575
"Nycteris_thebaica","Nycteris_thebaica",0,0,0.121827411167512,0.00204290091930575
"Nycteris_grandis","Nycteris_grandis",0,0,0.121827411167512,0.00204290091930575
"Nycteris_hispida","Nycteris_hispida",0,0,0.047112462681757,0.00204290091930575
"Nycteris_aurita","Nycteris_aurita",0,0,0.047112462681757,0.00204290091930575
"Nycteris_macrotis","Nycteris_macrotis",0,0,0.047112462681757,0.00204290091930575
"Nycteris_vinsoni","Nycteris_vinsoni",0,0,0.047112462681757,0.00204290091930575
"Nycteris_madagascariensis","Nycteris_madagascariensis",0,0,0.047112462681757,0.00204290091930575
"Nycteris_woodi","Nycteris_woodi",0,0,0.121827411167512,0.00204290091930575
"Nycteris_parisii","Nycteris_parisii",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_monoceros","Rhinolophus_monoceros",1,1,0.121827411167512,0.00204290091930575
"Rhinolophus_pusillus","Rhinolophus_pusillus",1,0,0.121827411167512,0.00204290091930575
"Rhinolophus_osgoodi","Rhinolophus_osgoodi",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_cornutus","Rhinolophus_cornutus",1,1,0.121827411167512,0.00204290091930575
"Rhinolophus_lepidus","Rhinolophus_lepidus",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_shortridgei","Rhinolophus_shortridgei",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_imaizumii","Rhinolophus_imaizumii",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_cognatus","Rhinolophus_cognatus",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_subbadius","Rhinolophus_subbadius",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_acuminatus","Rhinolophus_acuminatus",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_adami","Rhinolophus_adami",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_affinis","Rhinolophus_affinis",1,1,0.121827411167512,0.00204290091930575
"Rhinolophus_alcyone","Rhinolophus_alcyone",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_arcuatus","Rhinolophus_arcuatus",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_blasii","Rhinolophus_blasii",1,0,0.121827411167512,0.00204290091930575
"Rhinolophus_capensis","Rhinolophus_capensis",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_celebensis","Rhinolophus_celebensis",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_madurensis","Rhinolophus_madurensis",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_clivosus","Rhinolophus_clivosus",1,0,0.121827411167512,0.00204290091930575
"Rhinolophus_bocharicus","Rhinolophus_bocharicus",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_hillorum","Rhinolophus_hillorum",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_coelophyllus","Rhinolophus_coelophyllus",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_darlingi","Rhinolophus_darlingi",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_deckenii","Rhinolophus_deckenii",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_denti","Rhinolophus_denti",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_eloquens","Rhinolophus_eloquens",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_euryotis","Rhinolophus_euryotis",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_ferrumequinum","Rhinolophus_ferrumequinum",1,1,0.121827411167512,0.00204290091930575
"Rhinolophus_fumigatus","Rhinolophus_fumigatus",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_hildebrandtii","Rhinolophus_hildebrandtii",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_hipposideros","Rhinolophus_hipposideros",1,0,0.121827411167512,0.00204290091930575
"Rhinolophus_inops","Rhinolophus_inops",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_keyensis","Rhinolophus_keyensis",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_luctus","Rhinolophus_luctus",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_beddomei","Rhinolophus_beddomei",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_formosae","Rhinolophus_formosae",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_maclaudi","Rhinolophus_maclaudi",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_hilli","Rhinolophus_hilli",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_ruwenzorii","Rhinolophus_ruwenzorii",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_macrotis","Rhinolophus_macrotis",1,1,0.121827411167512,0.00204290091930575
"Rhinolophus_siamensis","Rhinolophus_siamensis",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_malayanus","Rhinolophus_malayanus",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_marshalli","Rhinolophus_marshalli",0,0,0.121827411167512,0.00204290091930575
"Rhinolophus_megaphyllus","Rhinolophus_megaphyllus",0,0,0.121827411167512,0.00204290091930575
